,innovation,innovations
1,1,0
4,2,0
5,2,0
6,1,0
8,2,0
9,3,0
10,3,0
12,3,1
13,2,0
14,1,1
15,2,0
16,4,2
17,3,0
18,2,0
19,2,0
20,2,0
21,1,0
22,1,0
23,4,0
24,1,0
25,1,0
27,3,0
28,1,0
29,3,0
30,1,0
31,11,0
32,1,0
34,1,0
35,3,0
36,3,0
37,4,0
38,1,0
39,4,0
40,1,0
42,4,0
43,1,0
44,2,0
46,1,0
47,1,0
48,1,0
50,1,0
51,2,0
52,4,0
53,4,0
54,1,0
56,1,0
58,1,0
59,3,0
60,4,0
61,1,0
62,1,0
63,3,0
64,1,0
66,1,0
67,1,0
68,1,0
69,2,0
70,3,0
71,1,0
73,1,0
74,2,0
75,4,0
76,5,0
77,3,0
78,4,0
79,1,0
80,2,0
81,2,0
82,1,0
83,6,0
84,1,0
86,2,0
88,4,0
91,2,1
94,2,0
95,2,0
96,2,0
97,1,0
98,1,0
102,1,0
104,4,2
105,2,0
106,4,0
107,1,4
108,6,0
109,11,0
110,3,3
112,2,0
113,2,0
115,1,0
116,2,0
117,1,0
120,1,0
122,22,0
125,1,0
126,1,2
127,1,0
129,2,0
130,2,0
131,1,0
132,1,0
133,4,0
135,1,1
138,1,0
139,1,0
140,2,0
143,1,0
144,2,0
146,4,0
155,1,0
159,1,0
160,1,0
161,1,0
162,4,0
165,1,0
166,1,0
169,1,0
172,2,2
175,1,0
177,1,0
179,2,0
180,3,0
198,1,0
204,1,0
205,1,0
208,1,0
209,1,0
218,1,0
223,2,0
237,1,0
243,1,0
250,1,0
